id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat,,,,,
ark://27927/pgg22bb0cn7,"IV: Political Process: Public Opinion, Attitudes, Parties, Forces, Groups and Elections/Vie Politique: Opinion Publique, Attitudes, Partis, Forces, Groupes et Élections",International Political Science Abstracts,2012,10.1177/002083451206200303,article,abstract,portico,,01/06/2012,3,62,http://doi.org/10.1177/002083451206200303,,SAGE Publications,eng,340,365,,political; see abstr; parties; electoral; elections; election; european; attitudes; social; abr see,48223,26,unigram; bigram; trigram,,,,First publication,most publications
http://www.jstor.org/stable/26565353,Against the Double Erasure,Slavic Review,2018,,article,research-article,jstor,,01/04/2018,1,77,http://www.jstor.org/stable/26565353,Nikolay Karkov,Cambridge University Press,eng,151,173,,markov; communist; socialism; communist hypothesis; state socialism; georgi markov; bulgarian; eastern europe; markovs contribution; slavic review,13095,23,unigrams; bigrams; trigrams,,,,1973,2023
ark://27927/phzp46sj4pn,"Spiritualizing reason, rationalizing spirit: Muslim public intellectuals in the German far right",Ethnicities,2021,10.1177/1468796820932443,article,,portico,,01/06/2021,3,21,http://doi.org/10.1177/1468796820932443,Esra Özyürek; Julian Göpffarth,SAGE Publications,eng,498,520,,germanness; muslim; intellectuals; abdel samad; muslim background; german far; illiberal; background intellectuals; spiritual; liberal,10125,23,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/488501,"Nazism, Culture and The Origins of Totalitarianism: Hannah Arendt and the
              Discourse of Evil",New German Critique,1997,,article,research-article,jstor,,01/01/1997,70,,http://www.jstor.org/stable/488501,Steven E. Aschheim,New German Critique,eng,117,139,,arendt; hannah arendt; totalitarianism; aschheim; jaspers; origins; arendt origins; nazism; arendt letter; gellner,10385,23,unigrams; bigrams; trigrams,,,,,
ark://27927/phzd0vvn73r,Contradictory Concepts,Contributions to the History of Concepts,2015,10.3167/choc.2015.100104,article,,portico,,01/06/2015,1,10,http://doi.org/10.3167/choc.2015.100104,Lucian Hölscher,Berghahn,eng,69,88,,lucian hölscher; concepts; jenseits; religion; religious; religious concepts; hölscher jenseits; contradictory; concepts lucian; secular,9797,20,unigram; bigram; trigram,,,,,
ark://27927/pjbkfvqgrvs,The Italian historiographical debate and the Fact Checkers movement,Modern Italy,2023,10.1017/mit.2023.43,article,research-article,portico,,01/11/2023,4,28,http://doi.org/10.1017/mit.2023.43,Renato Camurri; Alice Gussoni; Carlo Greppi; Gianluca Falanga; Eric Gobetti,Cambridge University Press,eng,344,362,,fact checking; italian; historical; soviet; memory; political; history; eric gobetti; public; soviet union,14756,19,unigram; bigram; trigram,,,,,
ark://27927/pbd188d2z3f,Bibliography,How Social Movements Matter,1999,,chapter,,portico,,01/01/1999,,,,Marco Giugni; Doug Mcadam; Charles Tilly,University of Minnesota Press,eng,271,302,,social movements; politics; political; university; american sociological; american; sociological review; bert klandermans; cambridge; protest,12292,32,unigram; bigram; trigram,,,,,
ark://27927/pbq590tn4,BEFORE THE (NEOREALIST) REVOLUTION,Global Neorealism,2011,10.2307/j.ctt2tvnnr.5,chapter,,portico,,11/10/2011,,,https://doi.org/10.2307/j.ctt2tvnnr.5,VITO ZAGARRIO,University Press of Mississippi,eng,19,36,,cinema; neorealism; italian cinema; fascist; rossellini; neorealist revolution; quattro passi; fascist cinema; vito zagarrio; cinema italiano,7423,20,unigram; bigram; trigram,,,,,
ark://27927/phz954s38fb,The New Sociological Imagination,SAGE KNOWLEDGE,2006,10.4135/9781446216385,book,,portico,,01/01/2006,,,http://doi.org/10.4135/9781446216385,Steve Fuller,SAGE Publications,eng,,,,social; sociology; ch01 qxd; academic undead; sociological imagination; fuller; social sciences; durkheim; new sociological; new sociological imagination,95094,240,unigram; bigram; trigram,,,,,
ark://27927/pbd81ks6gw,The Appearance of History: Robert Rossen&#39;s Alexander the Great ,Responses to Oliver Stones Alexander,2010,,chapter,,portico,,01/01/2010,,,,Kim Shahabudin,University of Wisconsin Press,eng,92,116,,alexander; rossen; narrative; cinematic; robert rossen; historical; cinema; history; alexander the great; olympias,10328,25,unigram; bigram; trigram,,,,,
ark://27927/phznsn79xtf,Entangled Memories: Complicating the Memory of Area Bombing Through the Haunted Ruins of Anhalter Bahnhof,Cultural Studies - Critical Methodologies,2021,10.1177/1532708621997584,article,,portico,,01/06/2021,3,21,http://doi.org/10.1177/1532708621997584,Eloise Florence,SAGE Publications,eng,251,263,,memory; area bombing; cultural memory; holocaust; berlin; eloise florence; facade; platforms; anhalter bahnhof; haunted,9972,13,unigram; bigram; trigram,,,,,
ark://27927/phz2mb89fsm,Rhetoric and the Political Theory of Ideologies,Political Studies,2012,10.1111/j.1467-9248.2012.00948.x,article,,portico,,01/12/2012,4,60,http://doi.org/10.1111/j.1467-9248.2012.00948.x,Alan Finlayson,SAGE Publications,eng,751,767,,political; ideologies; freeden; political theory; political studies; laclau; political thinking; political ideologies; alan finlayson; finlayson,10288,17,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/jj.14086474.12,"War, Hunger and Economic Restructuring",The Long Retreat: Strategies to Reverse the Decline of the Left,2024,,chapter,chapter,jstor,,01/01/2024,,,http://www.jstor.org/stable/jj.14086474.12,Boris Kagarlitsky; Patrick Bond; Renfrey Clarke,Pluto Press,eng,115,138,London,russian; ukraine; ukrainian; economic; economic restructuring; war hunger; military; vladimir putin; long retreat; crisis,10288,23,unigrams; bigrams; trigrams; fullText,,,,,
ark://27927/pbd187z5vrk,BIBLIOGRAPHY,Integral Europe,2010,,chapter,,portico,,01/01/2010,,,,Douglas R. Holmes,Princeton University Press,eng,231,246,,european; fascism; london; european parliament; university; european union; princeton; michalina vaughan; europe; princeton university,6107,16,unigram; bigram; trigram,,,,,
ark://27927/pjbc82c1c2,Issue Matter,On the Horizon,2021,,article,,portico,,20/10/2021,4,29,,,Emerald Group Publishing,eng,,,,humanities; students; universities; education; accessed; humanities must; pandemic; horizon; faculty; majors,17453,32,unigram; bigram; trigram,,,,,
ark://27927/phxwq103v1,Contrastive Characterization in Verga&#39;s I Malavoglia and Visconti&#39;s La Terra trema,Perspectives on Contemporary Literature,2015,,chapter,,portico,,01/01/2015,,,,David Hershberg,The University Press of Kentucky,eng,41,49,,vergas; terra trema; luchino visconti; aci trezza; tigre reale; sulle lagune; padron ntoni; padron; vergas fiction; grandson,4322,9,unigram; bigram; trigram,,,,,
ark://27927/pjbmdnb1zc,Campo urbano:,"Flashback, Eclipse",2021,,chapter,,portico,,02/11/2021,,,,Romy Golan,Zone Books,eng,109,175,,campo urbano; golanpages30 indd; munari; bruno munari; ugo mulas; biennale; photo book; photography ugo; warburg; mulas design,17036,68,unigram; bigram; trigram,,,,,
ark://27927/pjbj15qs6cz,"6 Maggi&#39;s Croce, Sasso&#39;s Gentile, and the Riddles of Twentieth-Century Italian Intellectual History",Historicism and Fascism in Modern Italy,2007,,chapter,,portico,,01/01/2007,,,,"Roberts, David D.",University of Toronto Press,eng,,,,gentile; fascism; philosophy; italian; totalitarian; thinking; tradition; philosophical; croce and gentile; croce gentile,14397,30,unigram; bigram; trigram,,,,,
ark://27927/pjc2ksgg8f,Index,"Immigration, Integration, and Security",2008,,chapter,,portico,,01/01/2008,,,,"Reich, Simon; Chebel D'Appollonia, Ariane",University of Pittsburgh Press,eng,,,,immigration; terrorism; policy; security; britain; asylum; integration; integration policy; european; immigration policy,13010,16,unigram; bigram; trigram,,,,,
ark://27927/phx667f3vqb,Why Some Anti-Immigrant Parties Fail and Others Succeed,Comparative Political Studies,2005,10.1177/0010414004273928,article,,portico,,01/06/2005,5,38,http://doi.org/10.1177/0010414004273928,Wouter Van Der Brug; Jean Tillie; Meindert Fennema,SAGE Publications,eng,537,573,,immigrant parties; anti immigrant parties; electoral; electoral potential; voters; electoral success; vlaams blok; elections; success; lubbers,16519,37,unigram; bigram; trigram,,,,,
ark://27927/pjb4js90qnn,"The Spatial Politics of Far-right Populism: VOX, Anti-fascism and Neighbourhood Solidarity in Madrid City",Critical Sociology,2021,10.1177/0896920520962562,article,research-article,portico,,01/09/2021,6,47,http://doi.org/10.1177/0896920520962562,Ana Santamarina,SAGE Publications,eng,891,905,,neighbourhood; populism; xenophobic populism; politics; racism; madrid; fascist; fascist politics; fascism; santamarina,8950,15,unigram; bigram; trigram,,,,,
ark://27927/pjcdp6vt56,Notes,Women’s Voices in Digital Media,2022,,chapter,,portico,,01/01/2022,,,,"O'Meara, Jennifer",University of Texas Press,eng,,,,karina longworth; cinema; video wwwyoutubecom; podcast; youtube video; wwwyoutubecom watch; nikki van; scarlett johansson; frida kahlo; youtube video wwwyoutubecom,19633,30,unigram; bigram; trigram,,,,,
ark://27927/pjbmxjk0t4m,What Is Populism in History?,From Fascism to Populism in History,2019,,chapter,,portico,,20/08/2019,,,,Federico Finchelstein,University of California Press,eng,98,174,,populism; peronism; fascism; democracy; history; modern populism; political; dictatorship; democratic; velasco ibarra,25827,77,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/260975,The Guardian of the 'Sacred Flame': The Failed Political Resurrection of Sir Oswald Mosley after 1945,Journal of Contemporary History,1998,,article,research-article,jstor,,01/04/1998,2,33,http://www.jstor.org/stable/260975,Richard C. Thurlow,"Sage Publications, Ltd.",eng,241,254,,mosley; fascism; fascist; oswald mosley; union movement; saunders; political; british; internment; thurlow,6975,14,unigrams; bigrams; trigrams,,,,,
ark://27927/phx7x1xz9ft,The meaning and role of the concepts of democracy and corporatism in Italian neo-fascist ideology (1945–1953),Modern Italy,2011,10.1080/13532944.2010.524887,article,research-article,portico,,01/08/2011,3,16,http://doi.org/10.1080/13532944.2010.524887,Elisabetta Cassina Wolff,Cambridge University Press,eng,295,313,,neo fascists; fascist; rivolta ideale; meridiano d’italia; corporative; socialisation; italian; democracy; wing neo; corporatism,9700,19,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/25608823,"Expression as vandalism: Asger Jorn's ""Modifications""",RES: Anthropology and Aesthetics,2008,,article,research-article,jstor,,01/04/2008,53/54,,http://www.jstor.org/stable/25608823,Karen Kurczynski,President and Fellows of Harvard College,eng,293,313,,asger jorn; situationist; modifications; spoerri; painting; debord; enrico baj; recuperation; guy debord; situationist international,14337,21,unigrams; bigrams; trigrams,,,,,
http://www.jstor.org/stable/29736051,Towards a Radical Empiricism?,The Irish Review (1986-),2001,,article,book-review,jstor,,01/12/2001,28,,http://www.jstor.org/stable/29736051,Alan Finlayson; Colin Graham; Richard Kirkland; Stephen Howe,Cork University Press,eng,136,142,,irish studies; ireland; radical empiricism; empiricism irish; kirkland; finlayson towards; colonial; radical empiricism irish; cultural; irish review,3444,7,unigrams; bigrams; trigrams,,,,,
ark://27927/phx7z7m9418,"International PhD student’s motives, scaffolding, and response",Australian Review of Applied Linguistics,2017,10.1075/aral.39.2.05moc,article,research-article,portico,,31/01/2017,2,39,http://doi.org/10.1075/aral.39.2.05moc,Naoko Mochizuki,John Benjamins Publishing Company,eng,181,200,,scaffolding; oral interactions; writing; naoko mochizuki; writing group; villamil; learning; motives; feedback; feeding back,8419,20,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/23252142,"THE PEOPLE, THE ENEMY, AND THE VISION: A REVIEW ESSAY",Social Thought & Research,1997,,article,book-review,jstor,,01/01/1997,01-Feb,20,http://www.jstor.org/stable/23252142,George Lundskow; Philip Lamy; Walter Laquer; Brandon M. Stickney,Social Thought and Research,eng,187,196,,mcveigh; stickney; wing extremism; fascism; right wing extremism; millennial; millennial beliefs; mars social; ideology; movements,3939,10,unigrams; bigrams; trigrams,,,,,
ark://27927/pjbj136zdh4,3 Chronicle and Tragedy: The Neorealist Representation of History,Italian Neorealism,2020,,chapter,,portico,,01/01/2020,,,,"Leavitt IV, Charles L.",University of Toronto Press,eng,,,,cronaca; chronicle; neorealist; italian neorealism; piazzesi; neorealist representation; literary; una cronaca; history; storia,22771,43,unigram; bigram; trigram,,,,,
ark://27927/phw6wcwkv8,Political History in Italy,Journal of Policy History,2009,,article,,portico,,29/08/2009,3,21,, Pasquino Gianfranco,Project MUSE,eng,282,297,,italian; rome bari; gianfranco pasquino; political; storia; italian political; fascism; repubblica; historians; bologna,7184,16,unigram; bigram; trigram,,,,,
ark://27927/phz6jnxj1t6,Against the Double Erasure: Georgi Markov's Contribution to the Communist Hypothesis,Slavic Review,2018,10.1017/slr.2018.14,article,,portico,,23/04/2018,1,77,http://doi.org/10.1017/slr.2018.14,Nikolay Karkov,Cambridge University Press,eng,151,173,,markov; communist; communist hypothesis; state socialism; georgi markov; bulgarian; eastern europe; markovs contribution; slavic review; markov argues,12929,23,unigram; bigram; trigram,,,,,
