,,,,Annotation,,,,
" The first considers definitional aspects of post-communism . Sakwa argues that one of the salient features of post-communism , primarily in the first sense outlined above , is coming to terms with the communist past . He draws a number of interesting comparisons with other ' post - ' societies and systems , including post-imperialism , post-colonialism ,",post-fascism,"and post-war situations . Having drawn comparisons , he then produces a 13 - point summary of the defining characteristics of postcommunism . Not all of these are unique to post-communist societies , but the particular combination is . ",0,idea behind annotation: We would like to determine whether postfascism as mentioned in these segments are in line with the definition give by G.M. Tamás. For this reason the following criterion can be established 1 postfascism is not simply a temporal distinction - understood as just the world after 1945. 2  postfascism is democratic 3 postfascism goes beyond fascism 4 postfascism is the denial of the civic condition - problematic nature of citizenship,,,,
" For Mosley the ' will to achievement ' was the ' purpose of God ' , and only through constant striving could mankind evolve in the modern era . The future was the creation of the new higher type , the Faustian ' Thought-Deed ' man . This was the core of The Alternative , Mosley 's new agenda for the",postfascist,"world after 1945 . Like Faust and Siegfried , Mosley pondered on the dilemma of how ' evil ' could be used in the service of the community , how dynamism and action could be harnessed for the benefit of all , without causing harm to individuals .",-1,"code the following way: 

-1 If you can understand that postfascism is purely temporally understood 
 
1 if postfascism is understood as a concept on its own right (not just temporal differentiation) AND there is mention of its democratic nature, or there is a mention of its connection to citizenship (or immigration), or there is a mention of it being something beyond fascism.
In case the name G.M.Tamás is mentioned

0 if there is no clear indication that it is a temporal limit and there is no clear indication of what the concept represents ",only code till yellow line,,,
,,,,,,,,
" Mosley 's secret attempts at Yet , despite Mosley 's personally catastrophic political failure , and the often unpleasant implications of his fascist and",post-fascist,"political agenda , the power of his thought made him more than an intellectual magpie . A utopian visionary , nevertheless , his concern with action meant the formulation of a pragmatic response to the crises of the twentieth-century world ; he became a Keynesian before Keynes and a European before the European movement . ",0,"0 - No clear indication of temporal limit, because it is unclear what date the author lived, and it is ambiguous as to whether his post-fascism goes beyond fascism conceptually or temporally",,,,
" Evola of Eurofascism ; a revolutionary whose ideas failed to register in the intellectual or cultural mainstream , even if he was a pioneer of the various syntheses of fascist , racial populist and democratic traditions which came to characterize forms of neo-fascism in Europe after 1945 , some of whose features Roger Griffin , for example , has detected as recently as the creation of the '",post-fascist," Alleanza Nazionale .49 Unfortunately , other aspects of Mosley 's political inheritance still reverberate . His pioneering role in nativist and anti-immigrant politics acted as a precursor to its function in reviving a radical right neo-fascist tradition in European politics . ",1,"1 - identification of a post-fascist group with a thinker whose ideas went beyond fascism by means of syntheses. Additionally, the group is after 1945 so it is also explicitly more than a temporal distinction",,,,
" Ottar Dahl moved south from Norway to conduct research for his Sydicalism , Fascism and",Post-Fascism,"in Italy 1900 -1950 . Dahl has gathered material from archives and libraries from Brescia to Rome and kept abreast of the extensive literature on this subject . As Mussolini and generations of students have discovered , syndicalism and the corporative state can become tediously frustrating ",0,0 - There is neither a clear temporal distinction (was the post-fascist work referenced simply the work after 1945?) and no clear conceptual difference between fascism and post-fascism mentioned,,,,
" The result - the slow dismantling of the idea of universal citizenship and the inevitable reconnection of citizenship with a specific racial or ethni background-Tamis labels """,post-fascism,". "" 31 The phenomenon is most visible in the new "" democracies "" of the former Soviet bloc , but we fight the same battle here .32 Until we create a constitutional doctrine more protective of the people who have come here as labor inputs , we cannot expect to make progress toward broader rights of participation and economic security than the fairly minimal consumer rights we enjoy",1,1 - post-fascism explicltly linked to citizenship and democracy,,,,
"olf ; "" some Fascists there are in al those who were Fascists to earn their livelihood , other nationalistic spirit , and , also , alack and alas , some who in Fascism . Ninety per cent of them were deceived or the environing atmosphere ( as many were in foreign side Italy ) , but they had no crimes for which they had fore their judges . It is their mentality , their spirit , t that must be changed . It will be changed assuredly in the process of changing and events teach more than This",post-Fascism,"may have some influence but in it no fear . There is another Fascism to be feared . If Ital humiliated politically and submitted to territorial mutilat loss of colonies , willy-nilly , a nationalism of resentmen widely , Fascist ideas and secret Fascist propaganda ( w be lacking ) will kindle a fire that it will be very difficult even though during certain periods it will remain unde It can be said that this spirit of violenc and that it is not lacking in any European gium included ; but for a country such as Ital ( and what…",,weird check,,,,
"he Latin temperament enter into the account , but when the hum of fear or hatred , at bottom it is always during this war in those zones of Italy yoke . neighboring countries is clearly opposed . Instead , Communist totalitarianism is spreading and is becoming a terrible heir of the Fascisms of Pilsudski , Horthy , Schuschnigg , Antoniescu , and of the various Serbian , Bulgarian , and per Kings and Regents . We shall not speak of what Germ by the Russians will be ; there , a new totalitarianism will b Another",post-Fascism,"is that of street violence agai parties , practiced today by certain Communist groups tian Democrats , by certain local groups in southern I Socialists and Communists , and by the Separatists in their adversaries . Demagogues are not lac newspapers of the Left even a civil war if allowed . If anyone reads the proposals of certain American sc of positivistic mentality , and the proposals , sometimes in the street , he finds suggestions that cause amaze some who propose the sterilization of all the Japane vinced of the impossibility of "" educating "" the Germans destruction",,weird check,,,,
"e conduct of the three major forces behind the opposition to Mussolini must be examined : the partisan bands of young peasants-and workers , who had never accepted the Fascist regime 's propaganda ( Quazza totally rejects the recent interpretation , put forward by Renzo De Felice , on the extent of Fascist consensus ); the political parties , which were represented in the Committee of National Liberation ( CLN ); and the "" Fascist Anti-Fascists "" ( the Church , army , industrialists ) , who broke with the regime at the last moment . In the struggle over",post-Fascist,"Italy , the conservatives , backed by the Anglo-Americans , won almost by default . Quazza analyzes the difficulties in converting the partisan experience into political terms . The partisan movement was too involved in the struggle on the local level against the Germans and their Italian collaborators to offer a revolutionary alternative . The CLN , which aspired momentarily to a Jacobin-style government , found itself caught between two conflicting strategies in 1944 . The first , proposed by the Action Party and some socialists , envisaged using the CLN as an instrument to forge new unity among leftist…",-1,-1 Post-fascism is clearly only temporally understood,,,,
 My only objection to Quazza 's effort to put the Resistance in the broadest possible context is his dismissal of intellectual dissent within Fascism and the ability of Fascist leaders to create links with free culture as factors in the continuity between the ventennio and,post-Fascism,". While not properly part of the Resistance , the enormous number of people who made their careers under Fascism and could not totally repudiate it offered a powerful constituency against radical change . ",0,0 - No clear temporal or conceptual distinction,,,,
". The value of this argument is further proved in the third part of the book , which deals with the four main cases of neofascism , in Italy , Germany , France , and Great Britain , as well as providing an updated analysis of the problem in terms of historical revisionism , Europeanist tendencies , and new brands of fascism or",postfascism," la Gianfranco Fini and his Alleanza Nazionale . The core of the book is the second part , in which Eatwell develops the historical analysis of four cases : the rise of fascism to power in Italy ; the rise of Nazism in Germany ; the failure of the divided French fas cism to crystallize into a political force able to create a regime by itself and the problems of Vichy ; and a brief dissection of the British Union of Fascists and the role of their leader , Oswald Mosley ? the fascism that never took off",0,0 - Whether there is a temporal or conceptual distinction made is not made explicit here,,,,
"here is an equally interesting conclusion on Fascism 's legacy to postwar Italy , where Renzo De Felice 's ' revisionism ' is bluntly located in the move to a '",post-Fascist," Italy and ' providing an acceptable past for Italians ' ( p . 141 ) . No book of this brevity can live up to all the claims of its blurb . The book includes translated extracts from primary sources , some of them unpublished archive sources , as an impetus to ' thinking historically ' ( p . vii ) .",-1,0 - Whether there is a temporal or conceptual distinction made is not made explicit here,,,,27 -1 out of 74
" If these voices were political , does that mean that they were anti-Fascist ? Probably not ; for as long as the Fascist regime endured , voices opposed to it were apolitical by definition . And if they were apolitical , they were also ' technical ' , and as such , had no problems in contributing to",post-Fascist,economic reconstruction . The enti after the Second World War : transition and development ,-1,0 - Whether there is a temporal or conceptual distinction made is not made explicit here,,,,
 . But how was it that the structures of this ' second bureaucracy ' emerged almost unscathed from the ruins of Fascism ? Let us look first at the transition from Fascism to,post-Fascism,"and how it affected the apparatus and staff of the enti . Some starting points are provided by researchers who have documented , in ever-increasing and often prosopographical detail , the well-defined path followed by members of these unelected elites , from political engagement in the anti-Fascist parties ( chiefly the Christian Democrats ) in and after the war to directorships in the enti . ",1,0 - Whether there is a temporal or conceptual distinction made is not made explicit here,,,,
" But before 1945 , fascism was by no means merely a crude and vigorous movement of anti-communism . In my conclusion I will return to the comparability of fascism ' and the neo-or",post-fascism,"of our own times . I shall not refer to possible fascist movements or regimes outside Europe . St Payne is quite right to restrict his definition of fascism to movements ar response to the birth of mass parliamentary democracy and therefore nec requiring the mass mobilisation of foUowers . Fascism should not be used as a s hand for many types of nationaUst and post-colonial dictatorships the wo witnessed since the Second World War .13 However , Peronism in Arg integraUsm in Brazil or South African Afrikaans radicaUsm are close en fiUation and social context to be suggestive hybrids",1,"1 - There seems to be a temporal distinction present, but also a conceptual one linked to democracy",,,,
" This central notion of the critical theorists - that historical process and philosophical reflection have a complex conjuncture - is energetically reformulated by Adorno in various writings on the ' culture industry ' , as he contemptuously termed the restructuring of relations between production and the arts in the era of fascism and",post-fascism,". Minima moralia nowhere mentions Samuel Beckett , and it is likely that Adorno was not familiar with Beckett 's pre war writings.",0,,,,,
" Laquer offers only historical specificity , that movements in early and mid-century are historical fascism , contemporary movements are neo fascist , and at the same time , we see the emergence of",post-fascism,", which includes various types of right-wing extremism and clerical fascism in the U.S. and the middle-east . Since the cultures vary widely , as does the content of the ideology , understanding ideology alone does not explain right-wing extremism as a social phenomenon . ",0,,,,,
" My main point is that fascism 's emphasis on political violence , repression , and genocide has remained the most significant dimension of its memory for both perpetrators and victims after 1945 . This traumatic memory of violence has engendered both neofas cist movements and",postfascist,"forms of populism . First , I touch briefly on the current state of fascism studies and the new emphasis on transnational fascist violence through radical repression , em pire , and war .",0,,,,,
" These notes on fascist violence are situated at the crossroads of my inter est in transnational fascism before 1945 and the idiosyncratic practices of neofascism ,",postfascism,", and populism in the Cold War . In my work , I first analyzed how fascism had universal and transatlantic implications and then explored how it changed over time and over the Atlantic , affecting a new generation of perpetrators and victims .",1,,,,,
 Fascism could not work in the new context ; it was a remnant of the past that needed to be reformulated . Peronism could be successful only as,postfascism,", and only if it left extreme violence and dictatorship behind . The transcontextual legacy of fascist violence acted as a dialectical force in its interaction with Peronism , defining it as a sui generis experiment in what fascism could actually become after its global defeat . ",1,,,,,
" After 1955 , the Argentine extreme right returned to violence , going from",postfascism,"to neofascism . Paradoxically , Argentina presented a primary case for the return of the repressed memories of fascist violence . In the concentration camps of the last dictatorship , fascist ideology was literally imposed on the bodies of its victims . ",1,,,,,
" However , notwithstanding the Front 's allegations of the ' sameness ' of the political class , there were nascent , but growing , divisions among the parties of the anti fascist resistance , most notably between Christian democrats and the Marxist left , concerning the question of what kind of ' democracy '",post-fascist,"Italy should become . Christian Democracy ( Democrazia Cristiana ; DC ) , the successor of the Italian People 's Party ( Partito Popolare Italiano ) which had been banned by Mussolini in 1926 , was motivated to make a new beginning for Catholic-inspired politics .",-1,,,,,
"here are no gray areas , no com understandings , no doubts about the self , and n of the result ' . This is obvio When discussing representations of actual or imaginary security threats and targets , I am fully aware of the difficulty of any represe the referent of the representation . When using ' real ' , ' actual ' , and critique that deeply problematizes issues of representation ; see D 2006 ); Der ; ; My use of the word subversion to denote strategy and tactics to dis fascism ' , along with '",post-fascism,"' , is informed by the works of D . Or perhaps better ' post-fascist ' behavior emanating from a ' world "" reissues "" from the States displaying two successive figures : first tha fascist , figure is that of a war machine that takes peace as its objec Survival ' . My discussion of ' legitimization ' borrows somewhat from Foucault Habermas 's ideas of legitimation and ' legitimation crisis ' or ' defi details the relationship between power , sovereignty , and legitima shows , or attempts to show , how a power can be constituted ,…",,check,,,,
"lf , and n of the result ' . This is obvio When discussing representations of actual or imaginary security threats and targets , I am fully aware of the difficulty of any represe the referent of the representation . When using ' real ' , ' actual ' , and critique that deeply problematizes issues of representation ; see D 2006 ); Der ; ; My use of the word subversion to denote strategy and tactics to dis fascism ' , along with ' post-fascism ' , is informed by the works of D . Or perhaps better '",post-fascist,"' behavior emanating from a ' world "" reissues "" from the States displaying two successive figures : first tha fascist , figure is that of a war machine that takes peace as its objec Survival ' . My discussion of ' legitimization ' borrows somewhat from Foucault Habermas 's ideas of legitimation and ' legitimation crisis ' or ' defi details the relationship between power , sovereignty , and legitima shows , or attempts to show , how a power can be constituted , not exac in accordance with a certain basic legitimacy that is more basic than as…",,check,,,,
"The relatively muted reception in West Germany during the 1970 s was marked by its dismissal as theory-lacking and "" subjectivist "" . Examining the contrasting contexts of postwar Britain , with its popular anti-fascist experience , and",post-fascist,"West Germany helps to understand why Thompson 's "" empirical idiom "" of class history failed to strike a chord at the time with leading representatives of the new generation of "" progressive "" social historians in Germany and a broader reading public .",-1,,,,,
,,,,,,,,
 You could barely conceive of a bigger gap between political cultures than by comparing this to young intellectuals growing up in defeated,post-fascist,"Germany during the same decade . If we recall the intellectual and social situation of the Federal Republic of Germany in the late 1960 s and early 1970 s , focusing in particular on the subject history , it becomes apparent why The Making did not have the same impact in Germany as it did in Britainin contrast to the reception afforded the work in the academic communities of other countries ",-1,,,,,
 In,post-fascist,"West Germany , the highly political narrative of The Making , including its connotations of working-class education and of New Left radicalism , acquired a "" sound "" different from its original environment , which was characterized by a mix of victorious anti-fascism and the Cold War . ",-1,,,,,
